12.14.2021 17:21:08:318,TP1687,A BOT_moral,Ask,1,0, 1,1, -4,0,-5,0, 1,1, 0,1,B BOT_moral
12.14.2021 17:21:08:512,TP1687,B BOT_moral,Ask,-5,0, 1,1, -0,1,0,8, 1,1, -4,0,A BOT_moral
12.14.2021 17:21:12:435,TP1687,B BOT_moral,exitTP,-5,3, 1,1, -2,6,
12.14.2021 17:21:12:441,TP1687,B BOT_moral,EnterTP,-5,3, 1,1, -2,6,
12.14.2021 17:21:12:460,TP1687,B BOT_moral,exitTP,-5,3, 1,1, -2,6,
12.14.2021 17:21:13:437,TP1687,A BOT_moral,Kick,-3,3, 1,1, -4,0,-5,6, 1,1, -3,0,B BOT_moral
12.14.2021 17:21:13:516,TP1687,B BOT_moral,EnterTP,-6,4, 1,1, -2,6,
12.14.2021 17:21:13:598,TP1687,B BOT_moral,exitTP,-7,1, 1,1, -2,3,
12.14.2021 17:21:13:682,TP1687,C,Move,-5,6, 1,1, -5,3,-6,6, -0,4, -2,9
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
12.14.2021 17:21:16:381,TP1687,B BOT_moral,EnterTP,-7,2, 1,1, 2,3,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
12.14.2021 17:21:17:78,TP1687,B BOT_moral,Activated,-6,5, 1,1, 1,9,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
1.05,0.09,1,1,-0.9,0.09,
1,1,1.1,0.07,-0.9,1,
12.14.2021 17:21:19:101,TP1687,B BOT_moral,Thank,-4,9, 1,1, 0,8,-3,3, 1,1, -4,0,A BOT_moral
0.95,0.08,0.83,0.81,-0.81,0.08,
1,1,1.1,0.07,-0.9,1,
0.95,0.08,0.83,0.81,-0.81,0.08,
1,1,1.1,0.07,-0.9,1,
0.95,0.08,0.83,0.81,-0.81,0.08,
1,1,1.1,0.07,-0.9,1,
0.95,0.08,0.83,0.81,-0.81,0.08,
1,1,1.1,0.07,-0.9,1,
